name,latitude,longitude,threshold,event_date,geps_init_date,lead_time_days,event_flag,amd_tmp_min,percentile
Sarabetsu,42.656893,143.199584,3.0,2025-05-05,2025-04-20,15,0,4.10,4.8
Sarabetsu,42.656893,143.199584,3.0,2025-05-06,2025-04-20,16,0,3.20,5.1
Memuro,42.656893,143.199584,-1.0,2025-04-20,2025-04-20,0,0,5.80,0.0
Memuro,42.656893,143.199584,-1.0,2025-04-21,2025-04-20,1,0,-0.10,0.0
Memuro,42.656893,143.199584,-1.0,2025-04-22,2025-04-20,2,0,-0.60,0.0
Memuro,42.656893,143.199584,-1.0,2025-04-23,2025-04-20,3,0,2.00,0.0
Memuro,42.656893,143.199584,-1.0,2025-04-24,2025-04-20,4,0,5.50,0.3
Memuro,42.656893,143.199584,-1.0,2025-04-25,2025-04-20,5,0,1.70,0.0
Memuro,42.656893,143.199584,-1.0,2025-04-26,2025-04-20,6,0,0.10,0.0
Memuro,42.656893,143.199584,-1.0,2025-04-27,2025-04-20,7,0,-0.30,0.7
Memuro,42.656893,143.199584,-1.0,2025-04-28,2025-04-20,8,0,-0.80,0.8
Memuro,42.656893,143.199584,-1.0,2025-04-29,2025-04-20,9,0,-0.20,0.4
Memuro,42.656893,143.199584,-1.0,2025-04-30,2025-04-20,10,0,0.00,0.7
Memuro,42.656893,143.199584,-1.0,2025-05-01,2025-04-20,11,1,-2.30,0.0
Memuro,42.656893,143.199584,-1.0,2025-05-02,2025-04-20,12,0,2.60,0.1
Memuro,42.656893,143.199584,-1.0,2025-05-03,2025-04-20,13,0,6.70,0.1
Memuro,42.656893,143.199584,-1.0,2025-05-04,2025-04-20,14,0,4.40,0.0
Memuro,42.656893,143.199584,-1.0,2025-05-05,2025-04-20,15,0,4.10,0.1
Memuro,42.656893,143.199584,-1.0,2025-05-06,2025-04-20,16,0,3.20,0.1
Memuro,42.656893,143.199584,3.0,2025-04-20,2025-04-20,0,0,5.80,0.0
Memuro,42.656893,143.199584,3.0,2025-04-21,2025-04-20,1,1,-0.10,0.0
Memuro,42.656893,143.199584,3.0,2025-04-22,2025-04-20,2,1,-0.60,0.0
Memuro,42.656893,143.199584,3.0,2025-04-23,2025-04-20,3,1,2.00,3.4
Memuro,42.656893,143.199584,3.0,2025-04-24,2025-04-20,4,0,5.50,18.5
Memuro,42.656893,143.199584,3.0,2025-04-25,2025-04-20,5,1,1.70,2.0
Memuro,42.656893,143.199584,3.0,2025-04-26,2025-04-20,6,1,0.10,0.3
Memuro,42.656893,143.199584,3.0,2025-04-27,2025-04-20,7,1,-0.30,2.1
Memuro,42.656893,143.199584,3.0,2025-04-28,2025-04-20,8,1,-0.80,1.0
Memuro,42.656893,143.199584,3.0,2025-04-29,2025-04-20,9,1,-0.20,1.1
Memuro,42.656893,143.199584,3.0,2025-04-30,2025-04-20,10,1,0.00,2.2
Memuro,42.656893,143.199584,3.0,2025-05-01,2025-04-20,11,1,-2.30,0.0
Memuro,42.656893,143.199584,3.0,2025-05-02,2025-04-20,12,1,2.60,5.0
Memuro,42.656893,143.199584,3.0,2025-05-03,2025-04-20,13,0,6.70,5.9
Memuro,42.656893,143.199584,3.0,2025-05-04,2025-04-20,14,0,4.40,4.1
Memuro,42.656893,143.199584,3.0,2025-05-05,2025-04-20,15,0,4.10,4.8
Memuro,42.656893,143.199584,3.0,2025-05-06,2025-04-20,16,0,3.20,5.1
Oketo,43.697422,143.620209,-1.0,2025-04-20,2025-04-20,0,0,3.90,0.0
Oketo,43.697422,143.620209,-1.0,2025-04-21,2025-04-20,1,0,0.20,0.0
Oketo,43.697422,143.620209,-1.0,2025-04-22,2025-04-20,2,0,0.00,33.3
Oketo,43.697422,143.620209,-1.0,2025-04-23,2025-04-20,3,0,3.60,1.0
Oketo,43.697422,143.620209,-1.0,2025-04-24,2025-04-20,4,0,-0.20,3.9
Oketo,43.697422,143.620209,-1.0,2025-04-25,2025-04-20,5,0,1.60,5.0
Oketo,43.697422,143.620209,-1.0,2025-04-26,2025-04-20,6,0,-0.10,4.1
Oketo,43.697422,143.620209,-1.0,2025-04-27,2025-04-20,7,0,0.30,3.3
Oketo,43.697422,143.620209,-1.0,2025-04-28,2025-04-20,8,1,-2.20,4.1
Oketo,43.697422,143.620209,-1.0,2025-04-29,2025-04-20,9,0,0.20,5.4
Oketo,43.697422,143.620209,-1.0,2025-04-30,2025-04-20,10,0,-0.10,4.7
Oketo,43.697422,143.620209,-1.0,2025-05-01,2025-04-20,11,0,0.60,2.2
Oketo,43.697422,143.620209,-1.0,2025-05-02,2025-04-20,12,0,3.40,3.0
Oketo,43.697422,143.620209,-1.0,2025-05-03,2025-04-20,13,0,8.30,1.8
Oketo,43.697422,143.620209,-1.0,2025-05-04,2025-04-20,14,0,4.30,2.2
Oketo,43.697422,143.620209,-1.0,2025-05-05,2025-04-20,15,0,3.90,3.2
Oketo,43.697422,143.620209,-1.0,2025-05-06,2025-04-20,16,0,2.00,2.1
Oketo,43.697422,143.620209,3.0,2025-04-20,2025-04-20,0,0,3.90,0.0
Oketo,43.697422,143.620209,3.0,2025-04-21,2025-04-20,1,1,0.20,97.8
Oketo,43.697422,143.620209,3.0,2025-04-22,2025-04-20,2,1,0.00,94.0
Oketo,43.697422,143.620209,3.0,2025-04-23,2025-04-20,3,0,3.60,93.1
Oketo,43.697422,143.620209,3.0,2025-04-24,2025-04-20,4,1,-0.20,10.0
